ID,Nombre,Descripción,Prioridad,Actor,Historia de usuario
RF-01,Autenticación de usuarios,Login seguro y emisión de token/sesión; usuario inactivo rechazado.,Alta,Todos,"Como usuario, quiero autenticarme, para acceder según mi rol."
RF-02,Administración de cuentas de usuario,"CRUD usuarios, asignación de rol, email único, activación.",Alta,Administrador,"Como Administrador, quiero gestionar usuarios, para controlar el acceso."
RF-03,Gestión de categorías de producto,"Alta/edición/listado categorías; desactivación sin romper histórico.",Media,Administrador,"Como Administrador, quiero categorías, para organizar el catálogo."
RF-04,Gestión de productos del catálogo,"Código único, categoría, unidad, stock mínimo, activo.",Alta,Administrador,"Como Administrador, quiero productos identificables, para inventariar sin duplicados."
RF-05,Gestión de bodegas,"Ubicaciones con código único; inactiva sin movimientos nuevos.",Alta,Administrador,"Como Administrador, quiero bodegas, para ubicar el stock."
RF-06,Gestión de proveedores,"Maestro con documento único; asociación a compras en movimiento.",Media,Administrador,"Como Administrador, quiero proveedores, para trazar abastecimiento."
RF-07,Registro de stock inicial,"Carga de saldos por producto/bodega con referencia; sin duplicar línea base sin política.",Alta,Administrador,"Como Administrador, quiero stock inicial, para partir de saldos reales."
RF-08,Registro de entradas de inventario,"Incrementa existencias; compra con proveedor obligatorio cuando aplique.",Alta,"Auxiliar, Compras, Administrador","Como operador, quiero entradas, para registrar ingresos a bodega."
RF-09,Registro de salidas de inventario,"Decrementa con validación de disponibilidad; motivo obligatorio.",Alta,"Auxiliar, Administrador","Como operador, quiero salidas, para registrar egresos válidos."
RF-10,Transferencias entre bodegas,"Origen≠destino; transacción atómica; stock suficiente en origen.",Alta,"Auxiliar, Administrador","Como operador, quiero transferir, para mover stock entre bodegas."
RF-11,Consulta de existencias,"Listado por filtros; Gerencia solo lectura.",Alta,Autorizados,"Como usuario autorizado, quiero ver existencias, para decidir operación y compras."
RF-12,Alertas por stock mínimo,"Listado producto/bodega con cantidad ≤ mínimo.",Media,"Auxiliar, Compras, Gerencia, Administrador","Como usuario, quiero alertas, para anticipar faltantes."
RF-13,Reportes y trazabilidad de movimientos,"Kardex/historial por fechas y filtros; datos de auditoría.",Alta,"Gerencia, Administrador, Auxiliar, Compras","Como usuario, quiero reportes, para auditar y analizar."
RF-14,Conteo físico y ajustes de inventario,"Registrar conteo y generar ajustes auditados.",Media,"Auxiliar, Administrador","Como operador, quiero ajustes por conteo, para alinear físico y sistema."
RF-15,Consulta de auditoría de seguridad,"Listado eventos admin (opcional según implementación).",Baja,Administrador,"Como Administrador, quiero auditoría de seguridad, para revisar accesos."
RF-16,Exportación de datos de reportes,"Export CSV con mismos permisos que reporte; límites de rango.",Baja,Autorizados,"Como usuario, quiero exportar, para analizar en hojas de cálculo."
